ID,Year,Month,Day,Type,Dead,Dead Perpetrator,Injured,Injured Perpetrator,Country,City,Perpetrator
1137,2018,6,16,kidnapping,1,,11,, Uppi Central African Republic,Obo,Lord's Resistance Army
1138,2018,6,17,bombing,0,,0,, Philippines,Arakan,Bangsamoro Islamic Freedom Fighters
1139,2018,6,17,attempted bombing,0,,0,, Philippines,Arakan,Bangsamoro Islamic Freedom Fighters
1140,2018,6,17,suicide bombing,25,1,50,, Afghanistan,Jalalabad,Islamic State
1141,2018,6,17,ambush,4,,6,, India,Mon district,National Socialist Council of Nagaland
1142,2018,6,17,bombing,8,,0,, Kenya,Wajir County,Al-Shabaab
1143,2018,6,17,shooting,8,,0,, Kenya,Wajir County,Al-Shabaab
1144,2018,6,17,shooting,2,,0,, Colombia,Teorama,EPL
1145,2018,6,17,shooting,2,,7,, Iraq,Diyala Governorate,Islamic State
1146,2018,6,17,kidnapping,2,,7,, Iraq,Diyala Governorate,Islamic State
1147,2018,6,17,kidnapping,7,,23,, Iraq,Saladin Governorate,Islamic State
1148,2018,6,17,execution,7,,23,, Iraq,Saladin Governorate,Islamic State
1149,2018,6,17,execution,2,,0,, Mozambique,Macomia District,Ansar al-Sunna
1150,2018,6,18,stabbing,1,,0,, Bangladesh,Ukhia Upazila,Arakan Rohingya Salvation Army
1151,2018,6,18,ambush,6,,0,, Iraq,Nineveh Governorate,Islamic State
1152,2018,6,18,shooting,1,,0,, Colombia,Fortul,ELN
1153,2018,6,18,shooting,9,,2,, Nigeria,Nganzai,Boko Haram
1154,2018,6,18,rocket attack,0,,0,, Israel,Ashkelon,Izz ad-Din al-Qassam Brigades
1155,2018,6,19,shooting,0,,0,, Chile,Malleco Province,Coordinadora Arauco-Malleco
1156,2018,6,19,arson,0,,0,, Chile,Malleco Province,Coordinadora Arauco-Malleco
1157,2018,6,19,shooting,0,3,5,, India,Tral,Jaish-e-Mohammed
1158,2018,6,19,stabbing,1,,0,, India,Giridih district,CPI
1159,2018,6,19,kidnapping,0,,3,, Iraq,Ar-Rutbah,Islamic State
1160,2018,6,19,bombing,2,,3,, Turkey,Eruh,PKK
1161,2018,6,19,bombing,1,,1,, Turkey,Sirnak,PKK
1162,2018,6,19,kidnapping,0,,1,, Iraq,Al-Shirqat District,Islamic State
1163,2018,6,19,shooting,0,,2,, India,Kanker district,CPI
1164,2018,6,19,stabbing,5,,0,, Mozambique,Macomia District,Ansar al-Sunna
1165,2018,6,19,arson,5,,0,, Mozambique,Macomia District,Ansar al-Sunna
1166,2018,6,20,bombing,0,,1,, Vietnam,Ho Chi Minh City,Provisional National Government of Vietnam
1167,2018,6,20,kidnapping,0,,2,, Philippines,Patikul,Abu Sayyaf
1168,2018,6,20,suicide car bombing,4,1,0,, Libya,Derna,Derna Protection Force
1169,2018,6,20,shooting,3,,0,, Mali,Bondo,Al-Qaeda in the Islamic Maghreb (suspected)
1170,2018,6,20,suicide bombings,0,2,15,, Nigeria,Maiduguri,Boko Haram
1171,2018,6,20,shootings,30,16,0,15, Afghanistan,Murghab District,Taliban
1172,2018,6,20,shootings,15,,0,, Afghanistan,Farah Province,Taliban (suspected)
1173,2018,6,20,shooting,2,2,3,, Iran,Zabol County,Ansar Al-Furqan
1174,2018,6,21,shooting,0,,0,, Cameroon,Mbengwi,Ambazonia Defence Forces
1175,2018,6,21,bombing,0,,6,, Philippines,Magpet,New People's Army
1176,2018,6,21,kidnapping,4,,43,, Afghanistan,Spin Boldak District,Taliban
1177,2018,6,21,shooting,4,,43,, Afghanistan,Spin Boldak District,Taliban
1178,2018,6,21,car bombing,8,,35,,Syria,Idlib,Islamic State (suspected)
1179,2018,6,21,bombing,8,,35,,Syria,Idlib,Islamic State (suspected)
1180,2018,6,22,shooting,3,,0,, Cameroon,Bamenda,Ambazonia Defence Forces (suspected)
1181,2018,6,22,shootings,18,,0,, Afghanistan,Ab Kamari District,Taliban
1182,2018,6,22,shooting,0,,2,, Iraq,Diyala Governorate,Islamic State
1183,2018,6,22,grenade attack,0,,10,, India,Tral,Hizbul Mujahideen
1184,2018,6,22,stabbing,5,,0,,Mozambique,Palma District,Ansar al-Sunna
1185,2018,6,22,shooting,5,,0,,Mozambique,Palma District,Ansar al-Sunna
1186,2018,6,22,arson,5,,0,,Mozambique,Palma District,Ansar al-Sunna
1187,2018,6,22,execution,3,,0,, Cameroon,Far North Region,Boko Haram
1188,2018,6,23,arson,0,,0,, Argentina,Lago Puelo,Resistencia Ancestral Mapuche
1189,2018,6,23,car bombing,0,,2,, Libya,Derna,Derna Protection Force
1190,2018,6,23,arson,0,,0,, Colombia,Toledo,FARC´S 36th Front
1191,2018,6,23,vehicular attack,0,,3,, West Bank,Bethlehem,Palestinian Nationalist
1192,2018,6,23,bombing,2,,2,, Mali,Bondo,Al-Qaeda in the Islamic Maghreb (suspected)
1193,2018,6,23,suicide bombing,5,1,6,, Nigeria,Konduga,Boko Haram
